Park,Name,ShortName,Unit Code,Park Type,Region,State,Year,Date,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude,Summer,Autumn,Winter,Spring
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2018,Jan 1 2018,15526,245,73,22,38.2,-111.17,411318,347794,53550,414965
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2019,Jan 1 2019,11893,90,39,0,38.2,-111.17,408123,359580,41404,417412
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2020,Jan 1 2020,14155,88,67,5,38.2,-111.17,387766,372161,71390,149721
Capitol Reef NP,Capitol Reef National Park,Capitol Reef,CARE,National Park,Intermountain,UT,2021,Jan 1 2021,20786,154,181,17,38.2,-111.17,434437,392263,76221,502432
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2012,Jan 1 2012,14044,0,0,9,32.17,-104.44,152034,67311,50998,110715
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2013,Jan 1 2013,13354,0,0,15,32.17,-104.44,166422,55389,50799,115956
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2014,Jan 1 2014,16251,0,0,17,32.17,-104.44,163244,62179,56578,115308
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2015,Jan 1 2015,11930,0,0,3,32.17,-104.44,188678,80168,44282,132592
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2016,Jan 1 2016,13534,0,0,12,32.17,-104.44,194387,94418,58755,119213
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2017,Jan 1 2017,17746,0,0,26,32.17,-104.44,186108,97724,69061,167133
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2018,Jan 1 2018,19172,0,0,10,32.17,-104.44,176509,102649,49168,137586
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2019,Jan 1 2019,3093,0,0,0,32.17,-104.44,162909,88988,53154,135640
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2020,Jan 1 2020,21319,0,0,3,32.17,-104.44,45981,47406,59047,31401
Carlsbad Caverns NP,Carlsbad Caverns National Park,Carlsbad Caverns,CAVE,National Park,Intermountain,NM,2021,Jan 1 2021,16219,0,0,30,32.17,-104.44,116571,87795,59064,85814
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2012,Jan 1 2012,15786,0,0,229,34.01,-119.42,98900,49770,35835,65089
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2013,Jan 1 2013,12800,0,0,370,34.01,-119.42,79067,39682,37803,55477
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2014,Jan 1 2014,18927,0,0,267,34.01,-119.42,133262,63294,54929,90676
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2015,Jan 1 2015,19847,0,0,304,34.01,-119.42,115334,65778,56301,87403
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2016,Jan 1 2016,15710,0,0,279,34.01,-119.42,133584,88385,55166,87672
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2017,Jan 1 2017,18887,0,0,298,34.01,-119.42,141796,82254,55958,103679
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2018,Jan 1 2018,15986,0,0,284,34.01,-119.42,128358,79814,56229,101849
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2019,Jan 1 2019,9193,0,0,691,34.01,-119.42,142289,100584,53518,113239
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2020,Jan 1 2020,18955,0,0,170,34.01,-119.42,47525,61194,42284,16287
Channel Islands NP,Channel Islands National Park,Channel Islands,CHIS,National Park,Pacific West,CA,2021,Jan 1 2021,1684,0,0,8,34.01,-119.42,119197,103063,32327,64665
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2012,Jan 1 2012,8132,0,0,132,33.78,-80.78,21838,28975,21279,37593
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2013,Jan 1 2013,10098,0,0,100,33.78,-80.78,31900,26058,23197,39185
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2014,Jan 1 2014,7994,0,0,21,33.78,-80.78,27068,31982,22773,38299
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2015,Jan 1 2015,3435,0,0,34,33.78,-80.78,21550,16973,16048,32942
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2016,Jan 1 2016,6850,0,0,0,33.78,-80.78,32873,35187,25968,49815
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2017,Jan 1 2017,7458,0,0,71,33.78,-80.78,38020,32840,29314,59421
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2018,Jan 1 2018,7186,0,0,34,33.78,-80.78,36012,24236,27768,57913
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2019,Jan 1 2019,7000,0,0,0,33.78,-80.78,35246,33979,28905,61315
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2020,Jan 1 2020,9672,0,0,8,33.78,-80.78,25959,47887,34530,10930
Congaree NP,Congaree National Park,Congaree,CONG,National Park,Southeast,SC,2021,Jan 1 2021,14159,0,0,82,33.78,-80.78,47568,54851,45529,67233
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2012,Jan 1 2012,7969,0,0,103,42.94,-122.1,276282,104368,13598,53003
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2013,Jan 1 2013,6325,0,0,68,42.94,-122.1,300103,92459,21209,109256
Crater Lake NP,Crater Lake National Park,Crater Lake,CRLA,National Park,Pacific West,OR,2014,Jan 1 2014,7501,0,0,112,42.94,-122.1,322983,133928,22213,56384
